beginning;1
begint;3
begon;16
begonnen;12
begreep;2
begrensde;1
begrepen;2
begrijpen;12
begrijpt;1
begroet;1
begroeten;1
behalen;1
behandeld;3
behandelde;2
behandelen;4
behandeling;4
behandelt;1
beheerscht;2
behelsden;1
behendig;1
behoeft;1
behoorde;1
behooren;1
behoud;1
behouden;4
behulp;1
beide;12
beiden;1
bejegend;2
bejegende;1
beken;2
bekend;2
bekenden;1
bekennen;2
bekent;1
beklaagde;3
beklaaglijken;1
bekleedden;1
beklimmen;1
beklommen;4
bekomen;7
bekommernis;1
bekomt;1
bekoorlijkheid;1
bekoring;1
bekwaam;1
bekwaamheid;3
bekwam;3
belachelijk;2
beladen;1
belang;1
belangeloosheid;1
belanghebbenden;1
belast;3
beleediging;1
beleefde;1
beleid;1
beletten;2
belg;8
belgen;30
belgie;7
belgique;1
belgisch;2
belgische;17
belgischen;2
belgsken-lief;1
beliefde;3
beliep;1
believen;1
beloochenden;1
beloofd;2
beloofde;3
beloofden;1
belooning;1
beloopen;2
belovende;1
below;4
bemerken;3
bemerkende;1
bemerking;1
bemerkte;3
bemerkten;2
bemin;1
bemind;3
beminde;2
beminnen;3
beminnend;1
bemoeide;1
ben;9
benaming;1
benauwd;1
benauwdheid;1
beneden;3
benevens;1
benoeming;2
benoemingen;1
bepaald;1
bepaalde;4
beproefde;1
beproeven;3
beraad;1
beraadslagen;2
beraadslagingen;1
beramen;1
berchem;5
bereid;2
bereiden;1
bereik;6
bereiken;2
bereikt;3
bereikte;2
berg;8
bergen;5
bergen-henegouw;1
berisping;3
berispte;1
beroemd;1
beroep;2
beroofd;1
besancon;1
beschermde;1
beschermer;1
beschermers;1
bescherming;3
beschieten;1
beschikken;1
beschikt;1
beschoren;2
beschouwd;1
beschouwde;3
beschouwingen;1
beschreven;1
beschrijven;2
beschrijving;1
beschuldigde;2
beschuldigen;1
beschutting;3
beseffen;1
beslag;1
beslijkt;1
beslissen;1
beslissend;2
beslissende;3
beslissenden;1
beslissing;4
beslist;2
besliste;1
besloten;1
besluit;1
besluiteloos;1
bespeurde;1
bespeuren;1
bespieden;1
bespoedigen;2
best;2
bestaan;2
bestaan--en;1
bestaande;2
bestand;3
beste;4
besteed;1
besteedde;1
bestemd;2
bestemming;2
bestendige;1
bestieren;1
bestond;4
bestonden;1
bestonden--met;1
bestormd;1
bestraffen;1
betalen;1
beteekende;1
beteekenis;1
beteekenissen;1
beteekent;3
beten;1
beter;3
betere;1
beteren;1
beternis;1
bethken;10
betoonde;1
betooverende;1
betreft;5
betreurde;1
betreurden;1
betreurt;1
betuigde;1
betuigingen;2
betwist;1
betwisten;1
beukenhaag;1
beurt;1
beurtelings;1
beurze;1
beval;3
bevallige;1
bevangen;1
bevat;1
bevechten;1
bevel;23
bevelen;13
bevelend;1
bevelende;1
beven;3
bevend;1
bevestigde;1
bevestigend;1
bevielen;1
beving;1
bevolen;4
bevond;8
bevonden;8
bevriezen;2
bevrijden;1
bevroor;1
bevrozen;1
bewaar;1
bewaard;2
bewaken;1
beweegt;2
beweerde;3
beweerden;1
bewegen;3
beweging;2
bewegingen;4
bewezen;1
bewijs;1
bewijzen;4
bewogen;1
bewonderde;1
bewonderden;1
bewonderen;1
bewondering;4
bewoners;1
bewoog;3
bewoond;1
bewoordingen;1
bewust;1
bewusteloos;2
bewustheid;1
bewustzijn;2
bezag;1
bezat;2
bezaten;2
bezeerde;2
bezeeren;2
bezemstok;1
bezet;1
bezetten;1
bezetting;1
bezien;1
bezig;11
bezigen;1
bezigheden;1
bezigheid;1
bezit;4
bezoek;2
bezoeken;3
bezoeker;1
bezorgd;1
bezorgdheid;1
bezorgen;1
bezweek;4
bezweken;2
bezwijken;4
bezwijkend;4
bezwijmde;1
bezwoer;1
bezwoeren;1
bezworen;1
bibberde;1
bidden;1
biddend;2
bieden;4
bij;96
bijbrachten--kon;1
bijbrengen;1
bijdragen;1
bijeengeraapten;1
bijeengeschaard;1
bijeenzag;1
bijgebracht;1
bijgedragen;1
bijgezet;1
bijna;8
bijten;1
bijwijlen;4
bijwonen;1
bijzet;1
bijzijn;1
bijzonder;3
bijzondere;2
bijzonderen;1
bijzonderheden;1
bijzonderheid;2
bilocq;1
binary;1
binnen;11
binnengelaten;1
binnenland;1
binnenlaten;1
binnenste;3
binnentreden;1
binnenvesten;1
binnenwallen;1
biographische;1
biscayens;2
bitsigheid;1
bitter;4
bittere;1
bitteren;1
bitterheid;2
bitterlijk;1
bivak;17
blaak;1
blaakte;1
bladeren;2
bladzijden;2
blaken;1
blanc-bec;1
blancpain;1
blauw;3
blauwachtige;1
blauwbaard;1
blauwe;2
blauwen;4
bleef;37
bleek;1
bleeke;3
bleekheid;1
bleve;1
bleven;16
blijde;8
blijden;1
blijdschap;7
blijf;1
blijft;3
blijven;6
blijvende;1
blik;22
blikken;1
bliksem;1
bliksemde;1
bliksemend;1
bliksemende;2
bliksems;1
bliksemsnelle;1
blikte;1
blinde;1
bloed;8
bloed--daar;1
bloede;2
bloedenden;1
bloedig;1
bloedroode;2
bloemen;1
blonk;1
bloodaard;1
bloode;1
blooheid;1
blootgesteld;1
blootstellen;1
blozende;1
bobbels;1
bodem;2
boden;5
boeiden;1
boek;3
boekdeelen;1
boeken;4
boekenstapel;1
boeren;8
boezem;9
boezemde;3
boezemden;1
boisschot;1
bom;2
bombardement;6
bommen;3
bondgenooten;1
bonken;1
bonne;1
bood;1
boodschap;1
boog;5
boogschot;1
boom;5
boomen;5
boomgaard;2
boomstammen;2
boord;4
boordsels;2
boos;2
boosaardig;1
bootjes;1
boozen;1
bordeaux;1
borgerhout;8
borgerhoutsche;3
borgerhoutsveld;1
bornput;3
borst;11
borstel;1
borstweer;1
bosschen;1
boterham;3
boterhammen;2
boterpapier;1
both;2
bound;2
bourbons;1
bouwde;1
boven;26
bovenal;7
bovenmate;1
bovennatuurlijke;1
bovennatuurlijken;2
braaf;1
brabanconne;1
brabant;1
brabantsch;3
bracht;10
brachten;6
braden;1
brak;1
braken;1
brand;5
brandde;2
branden;4
brandend;3
brandende;3
brandstapel;2
brandstichtende;1
brandwachten;3
brave;1
breach;2
breed;2
breedte;1
breken;4
brengen;7
brief;3
briefje;4
brieven;3
brigade;1
brigadier;1
broeder;10
broeders;1
broederstammen;1
brok;1
brokken;2
bron;4
brood;8
brooden;1
broodlevering;1
brug;1
brulde;1
brussel;9
brusselaar;10
brusselaars;1
buiten;7
bukte;1
bulderde;3
bulderen;1
bulderend;1
